     2.000     3.000     2.000     3.000     2.000     1.000     2.000     1.000     1.000     2.000     1.000     0.000     1.000     0.000     0.000     0.000     1.000
     3.000     3.000     3.000     3.000     3.000     2.000     1.000     3.000     2.000         *     2.000     2.000     0.841     0.000     0.159     0.000     1.000
     3.000     4.000     3.000     2.000     4.000     5.000     4.000     3.000     1.000     1.000     2.000     0.000     0.000     0.993     0.007     0.000     2.000
     3.000     3.000     3.000     3.000     4.000     2.000     4.000         *     1.000     1.000     2.000     0.000     0.083     0.884     0.034     0.000     2.000
     3.000     4.000     3.000     4.000     4.000     2.000     4.000     3.000     1.000     2.000     2.000     0.000     0.002     0.689     0.308     0.001     2.000
     3.000     3.000     5.000     4.000     3.000     4.000     3.000     3.000     2.000     2.000     3.000     2.000     0.004     0.025     0.971     0.000     3.000
     4.000     4.000     5.000     4.000     4.000     5.000     4.000     4.000     2.000     4.000     2.000     0.000     0.000     0.000     0.001     0.999     4.000
     3.000     3.000     5.000     3.000     2.000     2.000     3.000     1.000     1.000     1.000     2.000     2.000     0.999     0.000     0.001     0.000     1.000
     2.000     3.000     3.000     4.000     3.000     3.000     3.000     3.000     1.000     2.000     1.000     0.000     0.409     0.067     0.523     0.000     3.000
     3.000     4.000     4.000     4.000     3.000     2.000     3.000     3.000     1.000     2.000     2.000     2.000     0.070     0.018     0.912     0.000     3.000
     4.000     3.000     4.000     5.000     3.000     2.000     2.000     3.000     1.000     3.000     2.000     2.000     0.015     0.000     0.985     0.000     3.000
     3.000     3.000     2.000     4.000     4.000     4.000     4.000     3.000     2.000     3.000     1.000     2.000     0.000     0.910     0.086     0.003     2.000
     3.000     3.000     4.000     3.000     2.000     3.000     2.000     2.000     1.000     1.000     1.000     0.000     0.995     0.000     0.005     0.000     1.000
     3.000     4.000     2.000     5.000     3.000     3.000     3.000     3.000     2.000     2.000     2.000     2.000     0.007     0.038     0.955     0.000     3.000
     3.000     4.000     3.000     3.000     4.000     3.000     5.000     3.000     1.000     1.000     1.000     0.000     0.000     0.997     0.003     0.000     2.000
     3.000     3.000     4.000     3.000     3.000     3.000     2.000     2.000     2.000     1.000     2.000     2.000     0.944     0.002     0.054     0.000     1.000
     4.000     4.000     3.000     5.000     3.000     4.000     3.000     3.000     3.000     4.000     2.000     2.000     0.000     0.001     0.625     0.375     3.000
     2.000     3.000     2.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     0.000     0.021     0.013     0.966     0.000     3.000
     4.000     4.000     5.000     4.000     5.000     5.000     5.000     5.000     1.000     1.000     1.000     2.000     0.000     0.106     0.000     0.894     4.000
     2.000     3.000     3.000     2.000     3.000     3.000     5.000     2.000     1.000     1.000     2.000     0.000     0.151     0.845     0.004     0.000     2.000
