2	3	2	3	.	2	1	2	1	1	2	1	1	1	5	5	5	5	5	3	2	2	2	1	1	4	5	5	1	4	1	8	1	.	1	.	.	.	.	.	.	.	8	1	.	.	.	.	.	.	.	2	0	0	1	0	0	0	.	.	4	5	4	4	4	1	.	1	4	2	16150	0	1	.	.	0	0	0	0	0	0	4	1	0	.	0	2	2.5	1.33333333333333	1.66666666666667	4.2	3.27272727272727	4.66666666666667	2	1	1	4	5	4	3	4	3	1	1	1	4	5	5	5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	3	2	1	2	1	.	1	4	1	5	4	4	1	3
3	3	3	3	2	3	2	1	3	2	.	1	1	2	4	5	4	4	4	4	4	4	2	3	3	4	1	1	5	4	4	8	2	2	.	.	1	.	.	.	.	1	5	1	.	.	.	.	.	.	.	2	0	1	0	0	0	0	.	.	2	4	4	5	2	1	.	3	4	2	18280	1	1	.	.	0	0	0	0	0	1	3	1	0	.	0	2	3	2.5	2	3.4	3.72727272727273	2	2	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	4	4	4	3	2	2	3	3	3	4	3	5	4	5	1	1	1	1	1	4	5	3	4	2	4	1	3.6
3	4	3	2	.	4	5	4	3	1	1	1	1	2	3	4	5	2	3	1	1	1	1	1	1	1	1	1	1	1	1	8	1	.	1	.	.	.	.	.	.	.	3	.	.	.	.	.	1	.	.	.	0	0	0	0	0	0	1	.	1	5	2	1	1	1	.	5	4	2	38195	1	3	.	.	0	0	0	0	0	0	2	0	0	.	0	2	3	1.66666666666667	4.33333333333333	2	2.09090909090909	1	1	1	.	5	5	2	3	3	2	1	1	2	4	5	4	5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	1	1	2	2	.	5	5	1	1	1	.	0	2.6
3	4	3	4	.	4	2	4	3	1	2	1	1	2	4	4	5	4	4	1	1	1	1	1	1	1	1	1	1	1	1	6	1	.	1	.	.	.	.	.	.	.	5	1	.	.	.	.	.	.	.	1	0	0	0	0	0	0	1	.	4	5	4	4	3	.	1	3	5	1	62122	.	1	.	.	0	0	0	0	0	0	3	1	.	1	1	2	3.5	2	3.33333333333333	4	2.45454545454545	1	1	1	1	3	3	3	4	4	1	2	3	3	5	4	5	5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2	1	1	3	1	.	1	1	1	4	4	3	0	2.2
3	3	5	4	.	3	4	3	3	2	2	1	1	3	5	4	4	4	5	1	1	1	1	1	1	5	5	5	1	1	1	5	1	.	1	.	.	.	.	.	.	.	3	.	.	.	.	.	1	.	.	.	0	1	0	0	1	0	1	.	3	4	5	4	3	1	.	5	4	2	27148	1	3	.	.	0	0	0	0	0	0	2	0	0	.	0	2	3.75	2.33333333333333	3.33333333333333	3.8	2.54545454545455	5	1	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5	5	5	4	4	3	4	4	3	5	4	5	5	3	4	6	6	1	.	4	4	2	2	2	5	0	2.8
3	3	5	3	.	2	2	3	1	1	1	1	1	2	4	5	4	5	4	1	1	1	4	1	1	5	6	5	1	1	1	4	1	.	1	.	.	.	.	.	.	.	3	.	1	.	.	.	.	.	.	5	0	1	0	0	0	0	.	.	3	4	5	5	3	1	.	3	4	1	18278	1	1	.	.	0	0	0	0	0	0	2	0	0	.	0	2	3.5	1	2.33333333333333	4	2.81818181818182	5.33333333333333	2	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5	1	.
2	3	3	4	.	3	3	3	3	1	2	1	1	1	5	5	5	5	5	3	2	1	2	1	2	1	1	1	5	5	5	3	1	.	1	.	.	.	.	.	.	.	9	1	.	.	.	.	.	.	.	4	0	0	0	0	1	1	.	.	3	3	3	3	2	1	.	3	4	2	27158	1	1	1	.	0	1	0	1	1	0	5	1	0	.	0	2	3	2	3	2.8	3.27272727272727	1	2	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5	5	4	4	4	1	1	4	1	5	5	5	5	5	4	3	4	1	.	1	4	1	4	7	5	1	3.4
3	4	4	4	.	3	2	3	3	1	2	1	1	2	4	5	5	5	5	3	3	2	2	1	1	4	4	4	5	5	5	3	1	.	1	.	.	.	.	.	.	.	8	1	.	.	.	.	.	.	.	2	0	1	0	0	1	1	.	.	5	5	5	4	2	1	.	2	4	2	13213	0	1	1	.	0	1	0	1	1	0	4	1	0	.	0	2	3.75	2	2.66666666666667	4.2	3.27272727272727	4	2	1	.	5	5	5	5	5	5	5	4	3	5	5	5	5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	6	5	1	6	1	.	2	4	1	6	3	.	1	3.2
4	3	4	5	.	3	2	2	3	1	3	2	1	2	5	5	5	5	5	5	5	3	5	2	5	4	5	4	4	1	4	3	1	.	1	.	.	.	.	.	.	.	8	1	.	.	.	.	.	.	.	2	0	1	0	0	0	1	.	.	5	5	5	5	4	.	1	6	3	2	58116	.	1	1	.	0	1	0	1	1	0	4	1	.	1	1	3	4	2.33333333333333	2.33333333333333	4.8	4.54545454545455	4.33333333333333	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	4	5	5	5	4	3	2	4	4	4	5	5	5	3	5	6	4	6	.	2	6	1	2	3	.	0	2.8
3	4	2	5	.	3	3	3	3	2	2	2	2	2	5	5	5	4	4	5	3	4	4	1	2	4	5	5	1	1	1	3	1	.	1	.	.	.	.	.	.	.	8	.	.	.	.	.	1	.	.	.	0	1	0	0	1	1	.	.	3	5	3	3	1	.	1	1	2	2	12125	.	3	1	.	0	1	0	1	1	0	4	1	.	1	1	4	3.5	2.33333333333333	3	3	3.81818181818182	4.66666666666667	1	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2	5	5	4	5	4	1	4	4	3	5	5	5	6	3	1	2	1	.	2	2	1	1	1	3	0	1.4
